x,y,z
-0.132,0.025,5.0
-0.13,-0.392,0.8
-0.13,0.392,0.8
-0.129,-0.165,3.0
-0.129,-0.105,4.0
-0.129,-0.03,5.0
-0.129,0.03,5.0
-0.129,0.105,4.0
-0.129,0.165,3.0
-0.127,-0.242,2.0
-0.127,0.242,2.0
-0.126,-0.034,5.0
-0.126,0.034,5.0
-0.123,-0.037,5.0
-0.123,0.037,5.0
-0.12,-0.04,5.0
-0.12,0.04,5.0
-0.119,-0.163,3.0
-0.119,0.163,3.0
-0.118,-0.105,4.0
-0.118,0.105,4.0
-0.116,-0.043,5.0
-0.116,0.043,5.0
-0.115,-0.412,0.6
-0.115,0.412,0.6
-0.11,-0.162,3.0
-0.11,0.162,3.0
-0.108,-0.36,1.0
-0.108,0.36,1.0
-0.107,-0.105,4.0
-0.107,0.105,4.0
-0.104,-0.239,2.0
-0.104,0.239,2.0
-0.103,-0.39,0.8
-0.103,0.39,0.8
-0.102,-0.051,5.0
-0.102,0.051,5.0
-0.098,-0.052,5.0
-0.098,0.052,5.0
-0.097,-0.159,3.0
-0.097,-0.104,4.0
-0.097,0.104,4.0
-0.097,0.159,3.0
-0.094,-0.238,2.0
-0.094,0.238,2.0
-0.09,-0.103,4.0
-0.09,0.103,4.0
-0.089,-0.055,5.0
-0.089,0.055,5.0
-0.084,-0.411,0.6
-0.084,-0.236,2.0
-0.084,0.236,2.0
-0.084,0.411,0.6
-0.083,-0.004,6.0
-0.083,-0.0,6.0
-0.083,0.004,6.0
-0.082,-0.007,6.0
-0.082,0.007,6.0
-0.081,-0.012,6.0
-0.081,0.012,6.0
-0.08,-0.055,5.0
-0.08,0.055,5.0
-0.078,-0.017,6.0
-0.078,0.017,6.0
-0.076,-0.358,1.0
-0.076,0.358,1.0
-0.075,-0.154,3.0
-0.075,-0.021,6.0
-0.075,0.021,6.0
-0.075,0.154,3.0
-0.072,-0.388,0.8
-0.072,-0.234,2.0
-0.072,-0.023,6.0
-0.072,0.023,6.0
-0.072,0.234,2.0
-0.072,0.388,0.8
-0.071,-0.153,3.0
-0.071,0.153,3.0
-0.069,-0.025,6.0
-0.069,0.025,6.0
-0.068,-0.41,0.6
-0.068,0.41,0.6
-0.065,-0.055,5.0
-0.065,-0.027,6.0
-0.065,0.027,6.0
-0.065,0.055,5.0
-0.061,-0.151,3.0
-0.061,-0.029,6.0
-0.061,0.029,6.0
-0.061,0.151,3.0
-0.06,-0.357,1.0
-0.06,0.357,1.0
-0.059,-0.232,2.0
-0.059,0.232,2.0
-0.057,-0.095,4.0
-0.057,-0.029,6.0
-0.057,0.029,6.0
-0.057,0.095,4.0
-0.055,-0.387,0.8
-0.055,0.387,0.8
-0.051,-0.149,3.0
-0.051,-0.007,7.0
-0.051,0.007,7.0
-0.051,0.149,3.0
-0.05,-0.01,7.0
-0.05,-0.0,7.0
-0.05,0.01,7.0
-0.049,-0.231,2.0
-0.049,-0.012,7.0
-0.049,0.012,7.0
-0.049,0.231,2.0
-0.048,-0.47,0.2
-0.048,0.47,0.2
-0.047,-0.094,4.0
-0.047,-0.014,7.0
-0.047,0.014,7.0
-0.047,0.094,4.0
-0.045,-0.054,5.0
-0.045,0.054,5.0
-0.044,-0.016,7.0
-0.044,0.016,7.0
-0.043,-0.148,3.0
-0.043,-0.029,6.0
-0.043,0.029,6.0
-0.043,0.148,3.0
-0.042,-0.017,7.0
-0.042,0.017,7.0
-0.038,-0.23,2.0
-0.038,-0.017,7.0
-0.038,0.017,7.0
-0.038,0.23,2.0
-0.037,-0.441,0.4
-0.037,0.441,0.4
-0.036,-0.409,0.6
-0.036,0.409,0.6
-0.033,-0.146,3.0
-0.033,0.146,3.0
-0.032,-0.017,7.0
-0.032,0.017,7.0
-0.029,-0.356,1.0
-0.029,-0.145,3.0
-0.029,-0.053,5.0
-0.029,-0.0,8.0
-0.029,0.053,5.0
-0.029,0.145,3.0
-0.029,0.356,1.0
-0.028,-0.002,8.0
-0.028,0.002,8.0
-0.027,-0.004,8.0
-0.027,0.004,8.0
-0.026,-0.005,8.0
-0.026,0.005,8.0
-0.024,-0.386,0.8
-0.024,0.386,0.8
-0.023,-0.017,7.0
-0.023,0.017,7.0
-0.022,-0.006,8.0
-0.022,0.006,8.0
-0.021,-0.029,6.0
-0.021,0.029,6.0
-0.02,-0.09,4.0
-0.02,0.09,4.0
-0.017,-0.006,8.0
-0.017,0.006,8.0
-0.016,-0.228,2.0
-0.016,0.228,2.0
-0.015,-0.028,6.0
